id,snapshot_time,game_id,home_team,away_team,commence_time,bookmaker,market,outcome,odds,point,created_at
51110,58:29.0,c845bcc9b029a75b4010744bde751069,Atlanta Braves,San Francisco Giants,16:00.0,DraftKings,totals,Under,1.88,9.5,58:30.0
51103,58:29.0,2ee013146af023c985c025c66a483e05,New York Mets,Los Angeles Angels,11:00.0,DraftKings,h2h,Los Angeles Angels,2.44,NULL,58:30.0
51104,58:29.0,2ee013146af023c985c025c66a483e05,New York Mets,Los Angeles Angels,11:00.0,DraftKings,h2h,New York Mets,1.57,NULL,58:30.0
51105,58:29.0,2ee013146af023c985c025c66a483e05,New York Mets,Los Angeles Angels,11:00.0,DraftKings,totals,Over,1.97,9.5,58:30.0
51106,58:29.0,2ee013146af023c985c025c66a483e05,New York Mets,Los Angeles Angels,11:00.0,DraftKings,totals,Under,1.85,9.5,58:30.0
51099,58:29.0,4037ed43e7905f4540eba4c83a638b83,Toronto Blue Jays,New York Yankees,08:00.0,DraftKings,h2h,New York Yankees,2.08,NULL,58:30.0
51100,58:29.0,4037ed43e7905f4540eba4c83a638b83,Toronto Blue Jays,New York Yankees,08:00.0,DraftKings,h2h,Toronto Blue Jays,1.76,NULL,58:30.0
51101,58:29.0,4037ed43e7905f4540eba4c83a638b83,Toronto Blue Jays,New York Yankees,08:00.0,DraftKings,totals,Over,1.91,9,58:30.0
51102,58:29.0,4037ed43e7905f4540eba4c83a638b83,Toronto Blue Jays,New York Yankees,08:00.0,DraftKings,totals,Under,1.91,9,58:30.0
51091,58:29.0,db1c583a2bd3f21fe8ec30cc589eeb91,Philadelphia Phillies,Boston Red Sox,46:00.0,DraftKings,h2h,Boston Red Sox,2.67,NULL,58:30.0
51092,58:29.0,db1c583a2bd3f21fe8ec30cc589eeb91,Philadelphia Phillies,Boston Red Sox,46:00.0,DraftKings,h2h,Philadelphia Phillies,1.49,NULL,58:30.0
51093,58:29.0,db1c583a2bd3f21fe8ec30cc589eeb91,Philadelphia Phillies,Boston Red Sox,46:00.0,DraftKings,totals,Over,1.92,8.5,58:30.0
51094,58:29.0,db1c583a2bd3f21fe8ec30cc589eeb91,Philadelphia Phillies,Boston Red Sox,46:00.0,DraftKings,totals,Under,1.9,8.5,58:30.0
51095,58:29.0,3a3b44134650ac62f5f358ccc4925b33,Washington Nationals,Cincinnati Reds,46:00.0,DraftKings,h2h,Cincinnati Reds,1.7,NULL,58:30.0
